"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年12月31日","3,050.12","3,036.39","3,051.68","3,030.51","21.74B","0.33%"
"2019年12月30日","3,040.02","2,998.17","3,041.40","2,983.34","24.81B","1.16%"
"2019年12月27日","3,005.04","3,006.85","3,036.11","3,003.63","24.71B","-0.08%"
"2019年12月26日","3,007.35","2,981.25","3,007.35","2,980.40","18.24B","0.85%"
"2019年12月25日","2,981.88","2,980.43","2,988.29","2,970.66","17.57B","-0.03%"
"2019年12月24日","2,982.68","2,965.83","2,983.82","2,960.68","16.30B","0.67%"
"2019年12月23日","2,962.75","2,999.04","3,009.34","2,960.43","20.57B","-1.40%"
"2019年12月20日","3,004.94","3,019.64","3,027.48","3,002.26","21.51B","-0.40%"
"2019年12月19日","3,017.07","3,017.15","3,021.42","3,007.99","20.86B","0.00%"
"2019年12月18日","3,017.04","3,021.47","3,033.23","3,011.72","24.41B","-0.18%"
"2019年12月17日","3,022.42","2,985.26","3,039.38","2,982.50","29.30B","1.27%"
"2019年12月16日","2,984.39","2,970.97","2,984.64","2,958.71","21.19B","0.56%"
"2019年12月13日","2,967.68","2,937.78","2,969.98","2,935.85","21.20B","1.78%"
"2019年12月12日","2,915.70","2,926.34","2,926.34","2,913.48","15.18B","-0.30%"
"2019年12月11日","2,924.42","2,922.60","2,928.26","2,915.00","16.55B","0.24%"
"2019年12月10日","2,917.32","2,908.94","2,919.20","2,902.79","17.01B","0.10%"
"2019年12月9日","2,914.48","2,914.46","2,919.59","2,905.25","16.08B","0.08%"
"2019年12月6日","2,912.01","2,902.28","2,912.01","2,894.75","13.41B","0.43%"
"2019年12月5日","2,899.47","2,886.52","2,902.00","2,885.08","14.32B","0.74%"
"2019年12月4日","2,878.12","2,876.91","2,882.50","2,869.42","12.55B","-0.23%"
"2019年12月3日","2,884.70","2,869.88","2,884.86","2,857.32","12.38B","0.31%"
"2019年12月2日","2,875.81","2,874.45","2,888.89","2,870.24","12.88B","0.13%"
"2019年11月29日","2,871.98","2,885.97","2,892.39","2,858.58","12.26B","-0.61%"
"2019年11月28日","2,889.69","2,902.36","2,909.84","2,883.43","11.95B","-0.47%"
"2019年11月27日","2,903.19","2,905.40","2,914.49","2,893.42","13.39B","-0.13%"
"2019年11月26日","2,907.06","2,912.52","2,915.04","2,897.93","17.00B","0.03%"
"2019年11月25日","2,906.17","2,885.61","2,906.61","2,880.65","17.86B","0.72%"
"2019年11月22日","2,885.29","2,906.24","2,925.02","2,873.99","15.86B","-0.63%"
"2019年11月21日","2,903.64","2,902.55","2,910.36","2,891.53","12.35B","-0.25%"
"2019年11月20日","2,911.05","2,928.11","2,930.49","2,907.42","13.74B","-0.78%"
